id,nazev
00,Celá ČR
10,Praha
20,Středočeský kraj
31,Jihočeský kraj
32,Plzeňský kraj
41,Karlovarský kraj
42,Ústecký kraj
51,Liberecký kraj
52,Královéhradecký kraj
53,Pardubický kraj
63,Kraj Vysočina
64,Jihomoravský kraj
71,Olomoucký kraj
72,Zlínský kraj
80,Moravskoslezský kraj
