KOD;ROK;POHL;VEKKAT;KRAJ;HOSP
A101;2008;1;55-64;32;8
A101;2008;1;55-64;41;8
A101;2008;1;55-64;42;14
A101;2008;1;55-64;51;7
A101;2008;1;55-64;52;13
A101;2008;1;55-64;53;6
A101;2008;1;55-64;63;15
A101;2008;1;55-64;64;15
A101;2008;1;55-64;71;7
A101;2008;1;55-64;72;13
A101;2008;1;55-64;80;18
A101;2008;1;65-74;10;6
A101;2008;1;65-74;20;6
A101;2008;1;65-74;31;14
A101;2008;1;65-74;32;9
A101;2008;1;65-74;41;8
A101;2008;1;65-74;42;12
A101;2008;1;65-74;51;7
A101;2008;1;65-74;52;8
A101;2008;1;65-74;53;12
A101;2008;1;65-74;63;14
A101;2008;1;65-74;64;13
A101;2008;1;65-74;71;5
A101;2008;1;65-74;72;5
A101;2008;1;65-74;80;27
A101;2008;1;75+;10;11
A101;2008;1;75+;20;16
A101;2008;1;75+;31;13
A101;2008;1;75+;32;20
A101;2008;1;75+;41;10
A101;2008;1;75+;42;14
A101;2008;1;75+;51;6
A101;2008;1;75+;52;13
A101;2008;1;75+;53;8
A101;2008;1;75+;63;23
A101;2008;1;75+;64;33
A101;2008;1;75+;71;6
A101;2008;1;75+;72;12
A101;2008;1;75+;80;20
A101;2008;2;15-34;10;28
A101;2008;2;15-34;20;37
A101;2008;2;15-34;31;45
A101;2008;2;15-34;32;49
A101;2008;2;15-34;41;37
A101;2008;2;15-34;42;41
A101;2008;2;15-34;51;30
A101;2008;2;15-34;52;28
A101;2008;2;15-34;53;26
A101;2008;2;15-34;63;50
A101;2008;2;15-34;64;69
A101;2008;2;15-34;71;41
A101;2008;2;15-34;72;62
A101;2008;2;15-34;80;106
A101;2008;2;35-44;10;7
A101;2008;2;35-44;20;9
A101;2008;2;35-44;31;6
A101;2008;2;35-44;32;18
A101;2008;2;35-44;41;3
A101;2008;2;35-44;42;17
A101;2008;2;35-44;51;5
A101;2008;2;35-44;52;15
A101;2008;2;35-44;53;5
A101;2008;2;35-44;63;17
